index,song_name,artist_name,album_names,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,id,link
66,Good Vibes,Fuego,Good Vibes,0.73,0.12516882573379748,0.0348,0.823,0.63,6.72e-06,0.6363636363636364,0.0964,0.8632815404059178,1,0.0797,0.4128459297287036,0.8,0.184,Good VibesFuego,
67,Real Friends,Camila Cabello,Real Friends,0.85,0.11837831063487428,0.235,0.701,0.512,5.07e-06,0.0,0.135,0.7904988476693182,0,0.0969,0.3794476679404749,0.8,0.6629999999999999,Real FriendsCamila Cabello,
68,Pa La Calle,COASTCITY,Pa La Calle,0.61,0.1295143749447505,0.11699999999999999,0.695,0.884,0.0,0.0,0.10400000000000001,0.8051198176095953,1,0.131,0.30947762857072114,0.8,0.8540000000000001,Pa La CalleCOASTCITY,
69,Pa Mí,Dalex,Pa Mí,0.58,0.11126273256549096,0.716,0.722,0.584,0.000321,1.0,0.115,0.7508983223056526,0,0.318,0.7014666677671487,0.8,0.6459999999999999,Pa MíDalex,
70,Wake Up in the Sky,Gucci Mane,Wake Up in the Sky,0.92,0.10779334275512407,0.00381,0.8,0.578,0.0,0.3636363636363637,0.359,0.833246598765891,0,0.0485,0.5901748941473599,0.8,0.3670000000000001,Wake Up in the SkyGucci Mane,
71,Está Rico,Marc Anthony,Está Rico,0.8300000000000001,0.11366070139749106,0.266,0.8170000000000001,0.74,0.0,1.0,0.0992,0.8475701930463658,0,0.28300000000000003,0.5366501869444283,0.8,0.674,Está RicoMarc Anthony,
72,Banana Clip - Spanish Version,Miguel,Banana Clip (Spanish Version),0.5700000000000001,0.10651155400241476,0.107,0.39799999999999996,0.66,0.0,0.09090909090909093,0.121,0.8213020097638342,0,0.12,0.3459421091293258,0.8,0.7190000000000001,Banana Clip - Spanish VersionMiguel,
73,YAKWTFGO (feat. Kali Uchis),BIA,NICE GIRLS FINISH LAST: CUIDADO,0.44,0.08433341949460263,0.0039700000000000004,0.812,0.748,0.0,0.4545454545454546,0.174,0.8130498352043218,0,0.139,0.544883170049274,0.8,0.158,YAKWTFGO (feat. Kali Uchis)BIA,
74,Come With Me,Kap G,no kap,0.47,0.08138379474371499,0.0526,0.659,0.7340000000000001,2.48e-06,0.9090909090909092,0.242,0.8613981612271702,1,0.046,0.668423311516272,0.8,0.34600000000000003,Come With MeKap G,
75,Como Si Na,Melii,Como Si Na,0.54,0.08895703462004559,0.23199999999999998,0.705,0.778,0.0,0.8181818181818182,0.244,0.8590934998637029,0,0.177,0.6606979258660107,0.8,0.7090000000000001,Como Si NaMelii,
76,Blah,Mariah,Blah,0.47,0.0987161970877491,0.0255,0.723,0.687,0.000207,1.0,0.124,0.8459346269174535,0,0.2,0.7170206092820178,0.8,0.777,BlahMariah,
77,Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam),A.CHAL,Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam),0.64,0.13523626650911466,0.0257,0.9279999999999999,0.402,0.0,0.7272727272727273,0.0804,0.7731519341808539,0,0.451,0.5777449467229012,0.8,0.62,Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam)A.CHAL,
78,Mi Infinita,Cuco,Chiquito,0.56,0.14546707800280415,0.902,0.465,0.675,0.267,0.9090909090909092,0.11,0.7734988724506233,1,0.0485,0.4949735471570416,0.8,0.129,Mi InfinitaCuco,
79,Coqueta,Katzù Oso,Pastel,0.49,0.09063717937097797,0.5710000000000001,0.632,0.652,0.85,0.3636363636363637,0.19399999999999998,0.6990806135851114,1,0.0302,0.4747109170594013,0.8,0.594,CoquetaKatzù Oso,
80,Sola,Jessie Reyez,Sola,0.65,0.11053987308556933,0.9209999999999999,0.47100000000000003,0.179,0.0,0.8181818181818182,0.10099999999999999,0.7061432855054147,1,0.08900000000000001,0.7191913105918668,0.8,0.19399999999999998,SolaJessie Reyez,
81,Nuestro Planeta (feat. Reykon),Kali Uchis,Nuestro Planeta (feat. Reykon),0.52,0.10672471922056502,0.0857,0.871,0.545,0.000499,0.0,0.0756,0.8004857135776771,0,0.0625,0.3963180613904043,0.8,0.415,Nuestro Planeta (feat. Reykon)Kali Uchis,
